posID,gameID,screens,passes,type,result,contested,game_clock,quarter,shot_clock,xcoord,ycoord,def_xcoord,def_ycoord,distance,shooter
1,20171007,0,0,hq,to,NULL,,0,17,0,0,0,0,0,NULL
1,20171028,0,2,fb,make,med,,0,20,233,76,0,0,0,NULL
1,20171103,3,4,hq,miss,low,,0,10,384,261,0,0,0,20
2,20171007,3,4,hq,miss,med,,0,5,34,171,0,0,0,NULL
2,20171028,0,2,fb,make,med,,0,20,232,78,0,0,0,NULL
2,20171103,1,4,hq,miss,med,,0,9,219,82,0,0,0,8
3,20171007,3,1,hq,make,med,,0,13,244,298,0,0,0,NULL
3,20171028,0,0,fb,make,low,,0,23,271,74,0,0,0,NULL
3,20171103,0,0,fb,make,none,,0,12,234,74,0,0,0,8
4,20171007,0,0,hq,to,NULL,,0,17,0,0,0,0,0,NULL
4,20171028,2,3,hq,miss,low,,0,15,274,73,0,0,0,NULL
4,20171103,0,2,fb,miss,low,,0,20,62,214,0,0,0,12
5,20171007,0,0,hq,to,NULL,,0,11,0,0,0,0,0,NULL
5,20171028,1,3,hq,miss,low,,0,16,411,249,0,0,0,NULL
5,20171103,0,6,hq,miss,none,,0,10,17,45,0,0,0,10
6,20171007,0,3,hq,miss,high,,0,6,383,266,0,0,0,NULL
6,20171028,3,2,hq,miss,med,,0,12,108,264,0,0,0,NULL
6,20171103,1,6,hq,miss,med,,0,11,20,48,0,0,0,10
7,20171007,0,3,hq,make,med,,0,18,40,183,0,0,0,NULL
7,20171028,0,1,fb,miss,high,,0,19,264,79,0,0,0,NULL
7,20171103,0,2,hq,to,NULL,,0,11,0,0,0,0,0,NULL
8,20171007,0,0,hq,foul,high,,0,1,232,75,0,0,0,NULL
8,20171028,0,2,hq,to,NULL,,0,18,0,0,0,0,0,NULL
8,20171103,2,2,hq,miss,low,,0,14,376,54,0,0,0,12
9,20171007,1,3,hq,miss,high,,0,11,301,127,0,0,0,NULL
9,20171028,2,1,hq,to,NULL,,0,13,0,0,0,0,0,NULL
9,20171103,1,4,hq,to,NULL,,0,13,0,0,0,0,0,NULL
10,20171007,1,1,hq,make,low,,0,13,462,179,0,0,0,NULL
10,20171028,0,0,fb,make,low,,0,23,266,79,0,0,0,NULL
10,20171103,2,5,hq,miss,high,,0,7,232,71,0,0,0,11
11,20171007,0,4,hq,make,med,,0,9,276,70,0,0,0,NULL
11,20171028,3,5,hq,foul,high,,0,8,270,77,0,0,0,NULL
11,20171103,1,6,hq,miss,low,,0,10,454,196,0,0,0,6
12,20171007,0,2,hq,miss,med,,0,15,274,302,0,0,0,NULL
12,20171028,1,1,hq,make,med,,0,17,233,75,0,0,0,NULL
12,20171103,1,3,hq,miss,low,,0,11,234,134,0,0,0,20
13,20171007,0,0,hq,make,none,,0,19,272,73,0,0,0,NULL
13,20171028,0,1,hq,miss,high,,0,19,273,73,0,0,0,NULL
14,20171007,0,2,hq,miss,low,,0,15,226,60,0,0,0,NULL
14,20171028,0,3,hq,to,NULL,,0,12,0,0,0,0,0,NULL
14,20171103,0,1,hq,miss,low,,0,0,184,295,0,0,0,NULL
15,20171007,1,3,hq,to,NULL,,0,14,0,0,0,0,0,NULL
15,20171028,0,0,fb,make,med,,0,20,273,77,0,0,0,NULL
15,20171103,0,4,hq,make,med,,0,14,237,82,0,0,0,8
16,20171007,0,2,hq,make,high,,0,15,273,74,0,0,0,NULL
16,20171028,0,0,fb,miss,high,,0,20,279,79,0,0,0,NULL
16,20171103,0,4,fb,make,low,,0,16,368,275,0,0,0,6
17,20171007,1,3,hq,foul,high,,0,9,272,70,0,0,0,NULL
17,20171028,1,0,hq,miss,high,,0,15,267,106,0,0,0,NULL
17,20171103,1,2,hq,make,high,,0,16,206,78,0,0,0,12
18,20171007,9,1,hq,miss,med,,0,14,354,289,0,0,0,NULL
18,20171028,2,3,hq,to,NULL,,0,16,0,0,0,0,0,NULL
18,20171103,1,6,hq,miss,low,,0,13,70,235,0,0,0,12
19,20171007,1,6,hq,make,low,,0,7,367,276,0,0,0,NULL
19,20171028,1,3,hq,miss,med,,0,13,480,52,0,0,0,NULL
19,20171103,0,2,fb,miss,low,,0,21,427,236,0,0,0,6
20,20171007,0,2,hq,miss,low,,0,15,43,178,0,0,0,NULL
20,20171028,0,0,fb,foul,high,,0,22,274,79,0,0,0,NULL
20,20171103,0,1,fb,to,NULL,,0,0,0,0,0,0,0,NULL
21,20171007,0,4,hq,to,NULL,,0,14,0,0,0,0,0,NULL
21,20171028,2,1,hq,miss,med,,0,1,161,255,0,0,0,NULL
21,20171103,1,4,hq,miss,med,,0,14,28,150,0,0,0,12
22,20171007,0,1,hq,to,NULL,,0,20,0,0,0,0,0,NULL
22,20171028,0,1,hq,to,NULL,,0,17,0,0,0,0,0,NULL
22,20171103,0,1,fb,make,low,,0,14,235,75,0,0,0,22
23,20171007,1,0,hq,foul,NULL,,0,13,0,0,0,0,0,NULL
23,20171028,0,2,hq,miss,med,,0,18,348,192,0,0,0,NULL
23,20171103,0,1,fb,miss,low,,0,20,485,53,0,0,0,12
24,20171007,0,2,hq,miss,low,,0,14,19,41,0,0,0,NULL
24,20171028,0,1,fb,make,high,,0,20,229,78,0,0,0,NULL
24,20171103,1,3,hq,foul,high,,0,0,0,0,0,0,0,NULL
25,20171007,0,1,hq,to,NULL,,0,16,0,0,0,0,0,NULL
25,20171028,0,2,hq,miss,high,,0,17,20,67,0,0,0,NULL
25,20171103,2,2,hq,miss,med,,0,14,190,297,0,0,0,20
26,20171007,1,4,hq,make,low,,0,12,19,45,0,0,0,NULL
26,20171028,0,2,hq,miss,high,,0,13,210,86,0,0,0,NULL
26,20171103,0,0,fb,make,med,,0,22,235,73,0,0,0,9
27,20170925,0,0,fb,miss,low,,0,20,259,76,258,71,5.09902,7
27,20171007,0,2,hq,miss,med,,0,12,234,87,0,0,0,NULL
27,20171028,1,2,hq,to,NULL,,0,14,0,0,0,0,0,NULL
27,20171103,0,1,fb,miss,med,,0,20,231,81,0,0,0,12
28,20170925,0,3,hq,to,NULL,,0,18,0,0,0,0,0,NULL
28,20171007,1,4,hq,miss,none,,0,13,437,217,0,0,0,NULL
28,20171028,0,4,hq,miss,low,,0,17,68,223,0,0,0,NULL
28,20171103,0,5,hq,miss,med,,0,9,273,71,0,0,0,21
29,20170925,0,3,hq,miss,high,,0,13,239,59,241,57,2.82843,21
29,20171007,0,3,hq,make,low,,0,9,269,70,0,0,0,NULL
29,20171028,1,3,hq,to,NULL,,0,12,0,0,0,0,0,NULL
29,20171103,0,5,hq,make,low,,0,13,135,274,0,0,0,6
30,20170925,0,2,hq,make,high,,0,16,267,73,267,66,7,10
30,20171007,1,3,hq,miss,low,,0,10,82,242,0,0,0,NULL
30,20171028,1,2,hq,make,low,,0,12,482,115,0,0,0,NULL
31,20170925,0,3,hq,make,med,,0,15,106,54,120,57,14.3178,5
31,20171007,0,0,fb,make,low,,0,21,275,74,0,0,0,NULL
31,20171028,0,0,hq,to,NULL,,0,16,0,0,0,0,0,NULL
32,20170925,0,3,hq,miss,low,,0,16,487,35,454,49,35.8469,10
32,20171007,0,1,hq,miss,med,,0,13,228,71,0,0,0,NULL
32,20171028,0,1,hq,to,NULL,,0,15,0,0,0,0,0,NULL
32,20171103,1,7,hq,make,low,,0,10,19,58,0,0,0,11
33,20170925,0,2,hq,foul,high,,0,15,271,69,268,64,5.83095,10
33,20171007,1,2,hq,to,NULL,,0,17,0,0,0,0,0,NULL
33,20171028,0,2,hq,miss,high,,0,14,273,104,0,0,0,NULL
33,20171103,0,4,hq,miss,high,,0,13,277,68,0,0,0,12
34,20170925,1,3,hq,make,low,,0,12,429,238,349,159,112.432,6
34,20171007,0,2,hq,foul,high,,0,10,261,85,0,0,0,NULL
34,20171028,1,1,hq,foul,high,,0,17,208,99,0,0,0,NULL
34,20171103,1,4,hq,make,med,,0,15,233,82,0,0,0,10
35,20170925,1,9,hq,miss,low,,0,17,326,289,289,164,130.361,8
35,20171007,0,2,hq,to,NULL,,0,9,0,0,0,0,0,NULL
35,20171028,0,1,hq,miss,med,,0,17,86,229,0,0,0,NULL
35,20171103,1,2,hq,miss,med,,0,14,175,205,0,0,0,12
36,20170925,0,0,hq,foul,high,,0,20,268,73,265,67,6.7082,9
36,20171007,0,3,hq,make,med,,0,14,266,85,0,0,0,NULL
36,20171028,2,3,hq,miss,med,,0,9,187,293,0,0,0,NULL
36,20171103,0,2,hq,make,med,,0,6,217,68,0,0,0,20
37,20170925,1,2,hq,make,med,,0,16,262,62,262,59,3,9
37,20171007,0,2,hq,to,NULL,,0,19,0,0,0,0,0,NULL
37,20171028,1,1,hq,to,NULL,,0,15,0,0,0,0,0,NULL
37,20171103,1,4,hq,miss,high,,0,12,318,59,0,0,0,9
38,20170925,0,1,hq,to,NULL,,0,17,0,0,0,0,0,NULL
38,20171007,0,0,hq,make,med,,0,11,229,73,0,0,0,NULL
38,20171028,0,1,hq,to,NULL,,0,20,0,0,0,0,0,NULL
38,20171103,2,5,hq,to,NULL,,0,5,0,0,0,0,0,NULL
