posID,screens,passes,type,result,contest,shot_clock,shooter
27,0,0,fb,miss,low,20,7
28,0,3,hq,to,,18,
29,0,3,hq,miss,high,13,21
30,0,2,hq,make,high,16,10
31,0,3,hq,make,med,15,5
32,0,3,hq,miss,low,16,10
33,0,2,hq,foul,high,15,10
34,1,3,hq,make,low,12,6
35,1,9,hq,miss,low,17,8
36,0,0,hq,foul,high,20,9
37,1,2,hq,make,med,16,9
38,0,1,hq,to,,17,
39,2,3,hq,to,,4,
40,0,6,hq,to,,18,
41,0,4,hq,miss,high,11,5
42,2,2,hq,make,med,2,5
43,0,3,hq,oreb,low,17,5
44,1,3,hq,foul,high,4,5
45,0,1,hq,miss,low,4,8
46,1,0,hq,to,,16,
47,1,4,hq,to,,13,
48,0,0,hq,to,,7,
49,0,1,fb,miss,high,21,8
50,0,9,hq,miss,med,15,7
51,0,5,hq,make,high,12,21
52,1,0,hq,miss,high,18,9
53,0,1,hq,make,med,11,8
54,0,1,hq,miss,high,20,8
55,0,1,hq,to,,20,
56,0,8,hq,miss,med,12,5
57,0,0,fb,to,,22,
58,0,1,hq,foul,med,16,
59,0,2,hq,foul,med,14,
60,4,3,hq,to,,12,
61,0,2,hq,to,,18,
62,0,5,hq,to,,10,
63,0,3,hq,make,low,16,9
64,0,3,hq,foul,high,17,
65,0,3,hq,miss,med,13,9
66,0,4,hq,miss,high,17,
67,0,5,hq,miss,low,15,6
68,0,2,hq,miss,low,4,5
69,0,1,fb,make,low,22,8
70,0,1,hq,to,,23,
71,0,1,fb,to,,23,
72,1,3,hq,make,low,8,13
73,1,1,hq,foul,high,7,8
74,0,0,hq,to,,0,
75,0,2,fb,to,,21,
76,0,3,hq,to,,15,
77,0,2,hq,miss,med,8,8
78,0,1,fb,make,med,21,13
79,0,3,hq,miss,med,17,
80,0,2,hq,miss,high,11,5
81,0,1,fb,make,high,21,5
82,0,2,hq,make,loq,12,9
83,0,2,hq,miss,med,19,5
84,1,2,hq,miss,low,6,5
85,1,4,hq,miss,low,10,5
86,0,0,fb,make,low,15,5
87,0,2,hq,miss,low,15,6
88,1,2,hq,miss,low,14,7
89,1,3,hq,make,none,18,6
90,0,2,hq,miss,med,18,5
91,0,0,fb,miss,high,20,22
92,0,0,hq,miss,med,18,5
93,0,2,fb,miss,none,22,22
94,1,3,hq,miss,low,14,6
95,0,2,hq,miss,high,19,7
