posID,screens,passes,type,result,contest,shot_clock,shooter,q
1,3,4,hq,miss,low,10,20,1
2,1,4,hq,miss,med,9,8,1
3,0,0,fb,make,none,12,8,1
4,0,2,fb,miss,low,20,12,1
5,0,6,hq,miss,none,10,10,1
6,1,6,hq,miss,med,11,10,1
7,0,2,hq,to,,11,,1
8,2,2,hq,miss,low,14,12,1
9,1,4,hq,to,,13,,1
10,2,5,hq,miss,high,7,11,1
11,1,6,hq,miss,low,10,6,1
12,1,3,hq,miss,low,11,20,1
14,0,1,hq,miss,low,,,1
15,0,4,hq,make,med,14,8,1
16,0,4,fb,make,low,16,6,1
17,1,2,hq,make,high,16,12,1
18,1,6,hq,miss,low,13,12,1
19,0,2,fb,miss,low,21,6,1
20,0,1,fb,to,,,,1
21,1,4,hq,miss,med,14,12,1
22,0,1,fb,make,low,14,22,1
23,0,1,fb,miss,low,20,12,2
24,1,3,hq,foul,high,,,2
25,2,2,hq,miss,med,14,20,2
26,0,0,fb,make,med,22,9,2
27,0,1,fb,miss,med,20,12,2
28,0,5,hq,miss,med,9,21,2
29,0,5,hq,make,low,13,6,2
32,1,7,hq,make,loq,10,11,2
33,0,4,hq,miss,high,13,12,2
34,1,4,hq,make,med,15,10,2
35,1,2,hq,miss,med,14,12,2
36,0,2,hq,make,med,6,20,2
37,1,4,hq,miss,high,12,9,2
38,2,5,hq,to,,5,,2
39,1,5,hq,to,,9,,2
40,2,5,hq,to,,8,,2
41,4,2,hq,miss,med,18,10,2
42,1,5,hq,miss,low,7,20,2
43,3,1,hq,oreb,med,16,12,3
44,1,4,hq,miss,med,16,8,3
45,1,2,hq,miss,med,16,8,3
46,1,6,hq,miss,low,11,20,3
47,1,3,hq,to,,19,,3
48,0,0,fb,oreb,med,15,8,3
49,1,2,hq,miss,med,14,6,3
50,1,4,hq,oreb,low,8,8,3
51,0,3,fb,oreb,high,15,11,3
52,0,4,oreb,miss,high,2,6,3
53,0,0,fb,to,,21,,3
54,1,8,hq,miss,low,9,11,3
55,3,4,hq,make,med,8,6,3
56,0,2,fb,miss,low,19,22,3
57,0,1,fb,make,low,19,10,3
58,2,1,hq,miss,low,16,10,3
59,0,1,fb,make,med,22,9,3
60,0,1,fb,miss,low,22,10,3
61,1,4,hq,make,high,12,9,3
62,0,1,fb,to,,23,,3
63,0,6,hq,to,,15,,4
64,0,1,fb,make,low,20,8,4
65,0,1,fb,miss,high,21,20,4
66,0,2,hq,miss,low,,,4
67,1,5,hq,foul,,12,,4
68,1,2,hq,make,high,8,12,4
69,1,3,hq,miss,med,11,12,4
70,0,1,fb,miss,med,21,12,4
71,1,5,hq,to,,,,4
72,2,7,hq,make,low,2,6,4
73,0,5,fb,miss,med,7,11,4
74,0,3,hq,oreb,low,12,10,4
75,0,2,fb,make,low,19,11,4
76,2,5,hq,foul,high,12,,4
77,0,0,hq,make,high,13,11,4
78,1,2,hq,oreb,med,16,8,4
79,0,3,hq,miss,low,3,,4
80,2,3,hq,miss,high,12,6,4
81,2,4,hq,miss,low,9,8,4
82,1,4,hq,miss,high,13,11,4
83,0,1,hq,miss,med,12,6,4
84,0,3,hq,miss,low,15,11,4
